first_name,last_name,emp_no,title
Takahito,Gecsei,10410,Staff
Make,Baba,10480,Staff
Lech,Himler,10762,Senior Staff
Lech,Himler,10762,Staff
Juyoung,Seghrouchni,10933,Senior Engineer
Jeanna,Riesenhuber,11015,Senior Staff
Sudhanshu,Demian,14104,Senior Staff
Sudhanshu,Demian,14104,Staff
Sastry,Marrevee,14476,Engineer
Richard,Sinitsyn,14551,Senior Staff
Teiji,Picco,17618,Staff
Gennady,Roison,17731,Assistant Engineer
Gennady,Roison,17731,Engineer
Stafford,Honglei,18583,Staff
Satoru,Yoshizawa,19350,Senior Staff
Satoru,Yoshizawa,19350,Staff
Utz,Heuter,20100,Senior Staff
Utz,Heuter,20100,Staff
Rafael,Skafidas,20129,Engineer
Rafael,Skafidas,20129,Senior Engineer
Heejo,Brodie,20720,Senior Staff
Mohammed,Brizzi,21909,Senior Staff
Mohammed,Brizzi,21909,Staff
Jasminko,Bresenham,22451,Senior Staff
Jasminko,Bresenham,22451,Staff
Dannz,Grospietsch,24421,Senior Engineer
Bilhanan,Karcich,26476,Staff
Shuji,Kandlur,27620,Engineer
Shuji,Kandlur,27620,Senior Engineer
Manu,Rosiles,27686,Senior Staff
Gilbert,Calkin,29265,Senior Staff
Gilbert,Calkin,29265,Staff
Pranay,Giarratana,29954,Senior Engineer
Yakkov,Samarati,30938,Senior Staff
Yakkov,Samarati,30938,Staff
Tuval,Waleschkowski,31170,Senior Staff
Leandro,Gist,31188,Technique Leader
Piyush,Paciorek,32622,Staff
Adamantios,Vanwelkenhuysen,33293,Assistant Engineer
Adamantios,Vanwelkenhuysen,33293,Engineer
Clyde,Swift,33606,Staff
Felicidad,Kumaresan,34505,Senior Staff
Felicidad,Kumaresan,34505,Staff
Michaela,Randi,38043,Engineer
Michaela,Randi,38043,Senior Engineer
Constantijn,Awdeh,39268,Engineer
Mahmut,Lampe,39341,Engineer
Mahmut,Lampe,39341,Senior Engineer
Maria,Eppinger,44265,Engineer
Masoud,Genin,45590,Technique Leader
Wuxu,Trogemann,46328,Senior Staff
Tooru,Daescu,46834,Senior Staff
Marco,Usdin,47139,Engineer
Baocai,Leaver,49477,Senior Staff
Aron,Harbusch,50453,Staff
Slavian,Yemenis,50587,Technique Leader
Youngkon,Rohrbach,51060,Engineer
Youngkon,Rohrbach,51060,Senior Engineer
Shugo,Yurek,52770,Senior Staff
Shugo,Yurek,52770,Staff
Eberhardt,Carrera,53314,Staff
Toshiko,Alblas,55121,Engineer
Shih,Lindqvist,55687,Senior Engineer
Bezalel,Karner,58141,Staff
Palash,Trelles,58990,Engineer
Saeko,Baik,59661,Staff
Hiroyasu,Seuren,63419,Senior Engineer
Heekeun,Slaats,63566,Senior Staff
Tsutomu,Rebaine,64487,Engineer
Tsutomu,Rebaine,64487,Senior Engineer
Eldridge,Eldridge,64984,Engineer
Eldridge,Eldridge,64984,Senior Engineer
Aksel,Picaronny,65539,Engineer
Aksel,Picaronny,65539,Senior Engineer
Deniz,Thibadeau,66702,Engineer
Deniz,Thibadeau,66702,Senior Engineer
Aiman,Gargeya,67934,Engineer
Aiman,Gargeya,67934,Senior Engineer
Munenori,Debuse,68416,Senior Engineer
Chinhyun,Rassart,68633,Senior Engineer
Arumugam,Nitta,70990,Senior Engineer
Sajjad,Waeselynck,72190,Engineer
Arif,Preusig,76201,Senior Engineer
Niranjan,Schaaf,77647,Technique Leader
Fabrizio,Anick,78086,Staff
Kwan,Gide,80656,Engineer
Francesca,Ellozy,83280,Senior Engineer
Parke,Unno,84922,Engineer
Vasiliy,Ratnaker,88647,Engineer
Along,Erol,89207,Senior Staff
Along,Erol,89207,Staff
Aiman,Mawatari,89680,Engineer
Aiman,Mawatari,89680,Senior Engineer
Yonghoan,Trogemann,90614,Assistant Engineer
Yonghoan,Trogemann,90614,Engineer
Jamaludin,Nilsson,91415,Senior Staff
Jamaludin,Nilsson,91415,Staff
Visit,McFarlan,92454,Engineer
Visit,McFarlan,92454,Senior Engineer
Bernardo,Vasanthakumar,94131,Staff
Jeanna,Chinen,97018,Engineer
Jeanna,Chinen,97018,Senior Engineer
Haldon,Janetzko,97623,Senior Staff
Haldon,Janetzko,97623,Staff
Moie,Karunanithi,97697,Engineer
Moie,Karunanithi,97697,Senior Engineer
Giao,Junot,98514,Staff
Hisao,Peral,100865,Engineer
Hisao,Peral,100865,Senior Engineer
Mantis,Millington,101902,Senior Staff
Mantis,Millington,101902,Staff
Djenana,Albarhamtoshy,103196,Senior Staff
Djenana,Albarhamtoshy,103196,Staff
Yechiam,Egerstedt,105589,Engineer
Naftali,Schurmann,106096,Engineer
Naftali,Schurmann,106096,Senior Engineer
Horward,Begiun,106958,Engineer
Horward,Begiun,106958,Senior Engineer
Hisao,Ghemri,108091,Senior Staff
Hisao,Ghemri,108091,Staff
Randi,Samarati,108198,Senior Staff
Randi,Samarati,108198,Staff
Oksana,Baek,108988,Senior Staff
Oksana,Baek,108988,Staff
Bangqing,Schach,109278,Senior Staff
Bangqing,Schach,109278,Staff
Fan,Kakkad,201709,Senior Staff
Fan,Kakkad,201709,Staff
Genta,Terekhov,201739,Assistant Engineer
Hugh,Jonsson,203474,Senior Staff
Hugh,Jonsson,203474,Staff
Claude,Kemmerer,203697,Engineer
Mary,Setiz,205500,Senior Engineer
Guadalupe,Pfau,206836,Senior Staff
Guadalupe,Pfau,206836,Staff
Zhiguo,Ariola,207068,Senior Staff
Shalesh,Lovengreen,210017,Senior Staff
Shalesh,Lovengreen,210017,Staff
Zhonghua,Snyers,211569,Senior Staff
Zhonghua,Snyers,211569,Staff
Leni,Henders,212093,Senior Staff
Leni,Henders,212093,Staff
Kien,Bennis,212703,Engineer
Tru,Danecki,213140,Staff
Pramod,Loncour,215843,Senior Staff
Pramod,Loncour,215843,Staff
Byong,Gustavson,216375,Senior Engineer
Jianhao,Molenaar,217387,Engineer
Jianhao,Molenaar,217387,Senior Engineer
Panayotis,Lukaszewicz,217551,Engineer
Panayotis,Lukaszewicz,217551,Senior Engineer
Aemilian,Kusalik,219047,Engineer
Aemilian,Kusalik,219047,Senior Engineer
Tesuya,dAstous,221126,Engineer
Tesuya,dAstous,221126,Senior Engineer
Abdulah,Pocchiola,221369,Engineer
Limsoon,Erol,222926,Senior Engineer
Chiranjit,Dredge,223595,Technique Leader
Ramalingam,Remmele,225867,Senior Engineer
Mooi,Cooman,225964,Engineer
Mooi,Cooman,225964,Senior Engineer
Gio,Murtha,227354,Engineer
Gio,Murtha,227354,Senior Engineer
Yinghua,Lorho,230354,Senior Staff
Yinghua,Lorho,230354,Staff
Torsten,Slobodova,231043,Assistant Engineer
Goetz,Alvarado,231798,Engineer
Goetz,Alvarado,231798,Senior Engineer
Zissis,Lodder,233759,Engineer
Jayesh,Spinelli,235793,Senior Engineer
IEEE,Raczkowsky,236315,Technique Leader
Berna,Nanard,236559,Senior Engineer
Insup,Reinhard,236591,Senior Staff
Insup,Reinhard,236591,Staff
Bilhanan,Dusink,239748,Senior Staff
Bilhanan,Dusink,239748,Staff
Shrikanth,Ramaiah,240253,Engineer
Francesca,Chorvat,240870,Senior Staff
Francesca,Chorvat,240870,Staff
Jagoda,Anguita,241254,Senior Engineer
Emran,Miara,241567,Engineer
Emran,Miara,241567,Senior Engineer
Wuxu,Poupard,241917,Staff
Chiranjit,Constantine,247612,Engineer
Xiong,Anick,247875,Senior Staff
Hideyuki,Decleir,249239,Senior Engineer
Steen,Gubsky,249866,Senior Staff
Steen,Gubsky,249866,Staff
Alexius,Plavsic,250452,Senior Engineer
Chaosheng,Conta,252185,Assistant Engineer
Chaosheng,Conta,252185,Engineer
Armond,Lores,254399,Technique Leader
Mohan,Chepyzhov,254787,Senior Engineer
Tonny,Couchot,254821,Staff
Mariusz,Zolotykh,258124,Senior Staff
Sasan,Brookner,260408,Senior Staff
Sasan,Brookner,260408,Staff
Kayoko,Attimonelli,262861,Senior Staff
Kayoko,Attimonelli,262861,Staff
Dinkar,Sinicrope,263325,Staff
Mechthild,Zongker,263649,Senior Staff
Bogdan,Bahi,264939,Engineer
Bogdan,Bahi,264939,Senior Engineer
Navid,Staudhammer,265039,Senior Staff
Navid,Staudhammer,265039,Staff
Miquel,Halloran,265794,Senior Staff
Miquel,Halloran,265794,Staff
Fan,Marsiglia,265875,Engineer
Fan,Marsiglia,265875,Senior Engineer
Sumant,Nishimukai,266249,Senior Staff
Ulises,Frolund,270084,Senior Staff
Ulises,Frolund,270084,Staff
Yolla,Kobara,273274,Engineer
Yefim,Pettey,274813,Senior Staff
Yefim,Pettey,274813,Staff
Ayakannu,Heinisuo,275801,Senior Staff
Hideyuki,Flanders,276472,Engineer
Hideyuki,Flanders,276472,Senior Engineer
Uzi,Kugler,277362,Senior Staff
Vasilii,Verhaegen,280029,Staff
Kish,Herbst,280525,Staff
Nahla,Serdy,282333,Senior Staff
Nahla,Serdy,282333,Staff
Candida,Felcyn,282699,Assistant Engineer
Candida,Felcyn,282699,Engineer
Martijn,Azevdeo,284711,Senior Engineer
Sasan,Deville,287436,Technique Leader
Fai,Maccarone,289687,Senior Staff
Fai,Maccarone,289687,Staff
Masaru,Huhdanpaa,292210,Engineer
Masaru,Huhdanpaa,292210,Senior Engineer
Siddarth,Rosiles,294461,Senior Engineer
